type,arg,nrels,secs,cosets
0,25,4,0.0358525,2500
0,50,4,0.147207,10000
0,75,4,0.344879,22500
0,100,4,0.625959,40000
0,125,4,1.07354,62500
0,150,4,1.45295,90000
0,175,4,2.05472,122500
0,200,4,2.76306,160000
0,225,4,3.55675,202500
0,250,4,4.87641,250000
5,2,2,0.000312613,8
5,3,3,0.00070606,48
5,4,4,0.00512103,384
5,5,5,0.0630311,3840
1,-1,4,0.235177,14400
5,6,6,1.26288,46080
2,-1,6,1.48957,51840
5,7,7,148.366,645120
3,-1,7,2938.87,2903040
